@relation A012GestTest3
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label {A,B,C,D}
@data
146.0,211.0,146.0,A
146.0,211.0,146.0,A
146.0,211.0,146.0,A
146.0,211.0,146.0,A
146.0,211.0,153.0,A
146.0,211.0,146.0,A
146.0,211.0,146.0,A
146.0,211.0,153.0,A
146.0,211.0,153.0,A
146.0,211.0,146.0,A
146.0,219.0,160.0,A
160.0,233.0,160.0,A
146.0,219.0,146.0,A
153.0,204.0,146.0,A
146.0,219.0,160.0,A
146.0,219.0,153.0,A
138.0,211.0,168.0,A
146.0,241.0,146.0,A
131.0,211.0,146.0,A
146.0,204.0,146.0,A
160.0,211.0,160.0,A
146.0,219.0,153.0,A
146.0,226.0,146.0,A
160.0,219.0,160.0,A
153.0,211.0,168.0,A
146.0,204.0,146.0,A
153.0,204.0,189.0,A
146.0,204.0,175.0,A
138.0,219.0,182.0,A
146.0,204.0,160.0,A
138.0,226.0,138.0,A
138.0,219.0,116.0,A
160.0,204.0,233.0,A
138.0,219.0,131.0,A
146.0,211.0,160.0,A
124.0,211.0,160.0,A
146.0,211.0,175.0,A
131.0,204.0,175.0,A
146.0,219.0,189.0,A
146.0,204.0,197.0,A
146.0,197.0,175.0,A
146.0,211.0,168.0,A
138.0,204.0,146.0,A
153.0,204.0,168.0,A
138.0,211.0,153.0,A
146.0,226.0,168.0,A
131.0,204.0,168.0,A
131.0,204.0,168.0,A
131.0,197.0,153.0,A
146.0,211.0,189.0,A
153.0,219.0,175.0,A
153.0,219.0,168.0,A
146.0,204.0,153.0,A
131.0,211.0,131.0,A
124.0,204.0,131.0,A
124.0,211.0,153.0,A
124.0,197.0,168.0,A
116.0,204.0,160.0,A
102.0,197.0,146.0,A
109.0,204.0,138.0,A
109.0,211.0,153.0,A
131.0,211.0,153.0,A
131.0,204.0,146.0,A
146.0,219.0,116.0,A
146.0,211.0,146.0,A
160.0,226.0,182.0,A
146.0,226.0,168.0,A
131.0,233.0,146.0,A
153.0,226.0,175.0,A
138.0,197.0,153.0,A
146.0,204.0,146.0,A
153.0,146.0,211.0,B
153.0,146.0,211.0,B
146.0,153.0,226.0,B
146.0,168.0,197.0,B
153.0,175.0,197.0,B
160.0,168.0,204.0,B
160.0,168.0,204.0,B
153.0,175.0,219.0,B
146.0,168.0,211.0,B
